,transaction_cost,now_or_never,if_you_do_it_do_it_good
0,0.0,0.00814983974705085,0.027311394963185825
1,0.01,0.005308777116259758,0.026899630091167727
2,0.02,0.005239617277387685,0.026487865219149576
3,0.03,0.006381812964254683,0.026076100347131446
4,0.04,0.0007301815159557679,0.025664335475113362
5,0.05,-0.00115490037425233,0.0252525706030952
6,0.06,0.00042199873976999313,0.024840805731077074
7,0.07,0.0008494902408621386,0.024429040859059
8,0.08,0.0008403559371969438,0.02401727598704084
9,0.09,-0.0015648495276154306,0.023605511115022716
